name,selling_price,buying_price,provider,date
SJC,118700,120700,24h.com.vn,2025-07-01
SJC,118700,120700,24h.com.vn,2025-07-02
SJC,119300,121300,24h.com.vn,2025-07-03
SJC,118900,120900,24h.com.vn,2025-07-04
SJC,118900,120900,24h.com.vn,2025-07-05
SJC,118900,120900,24h.com.vn,2025-07-06
SJC,118500,120500,24h.com.vn,2025-07-07
SJC,119000,121000,24h.com.vn,2025-07-08
SJC,118600,120600,24h.com.vn,2025-07-09
SJC,118800,120800,24h.com.vn,2025-07-10
SJC,119000,121000,24h.com.vn,2025-07-11
SJC,119500,121500,24h.com.vn,2025-07-12
SJC,119500,121500,24h.com.vn,2025-07-13
SJC,119500,121500,24h.com.vn,2025-07-14
SJC,119100,121100,24h.com.vn,2025-07-15
SJC,118600,120600,24h.com.vn,2025-07-16
SJC,118600,120600,24h.com.vn,2025-07-17
SJC,119500,121000,24h.com.vn,2025-07-18
SJC,119700,121200,24h.com.vn,2025-07-19
SJC,119700,121200,24h.com.vn,2025-07-20
SJC,120000,121500,24h.com.vn,2025-07-21
SJC,120000,122000,24h.com.vn,2025-07-22
SJC,120700,122700,24h.com.vn,2025-07-23
SJC,120000,122000,24h.com.vn,2025-07-24
